2020-01-12 17:02:57.539 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@e84a8e1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2e554a3b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@54a67a45, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7d42c224, org.springframework.test.context.support.DirtiesContextTestExecutionListener@56aaaecd, org.springframework.test.context.transaction.TransactionalTestExecutionListener@522a32b1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@35390ee3, org.springframework.test.context.event.EventPublishingTestExecutionListener@5e01a982, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5ddea849, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5ee2b6f9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@23d1e5d0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@704f1591, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@58fb7731]
2020-01-12 17:02:58.826 INFO  [main] [com.xiaozipu.client.banner.RecommendProductTest] 55 - Starting RecommendProductTest on yinjunjie with PID 10236 (started by yjj in D:\code\java\private\xiaozipu-api\xiaozipu-client)
2020-01-12 17:02:58.829 INFO  [main] [com.xiaozipu.client.banner.RecommendProductTest] 655 - The following profiles are active: dev,config/config-dev
2020-01-12 17:03:01.146 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-12 17:03:01.157 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-12 17:03:01.224 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 182 - Finished Spring Data repository scanning in 27ms. Found 0 repository interfaces.
2020-01-12 17:03:02.102 INFO  [main] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] 330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-12 17:03:03.511 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 110 - xzpHikariCP - Starting...
2020-01-12 17:03:04.145 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 123 - xzpHikariCP - Start completed.
2020-01-12 17:03:06.343 INFO  [main] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 171 - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-12 17:03:07.549 INFO  [main] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-12 17:03:07.556 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 350 - xzpHikariCP - Shutdown initiated...
2020-01-12 17:03:07.579 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 352 - xzpHikariCP - Shutdown completed.
2020-01-12 17:03:07.606 INFO  [main] [org.springframework.boot.autoconfigure.logging.ConditionEvaluationReportLoggingListener] 136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-01-12 17:06:35.762 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaozipu.client.banner.RecommendProductTest], using SpringBootContextLoader
2020-01-12 17:06:35.784 INFO  [main] [org.springframework.test.context.support.AbstractContextLoader] 264 - Could not detect default resource locations for test class [com.xiaozipu.client.banner.RecommendProductTest]: no resource found for suffixes {-context.xml, Context.groovy}.
